item	FoldChange	PV_Wilcoxon	PV_Bonferroni	log2(FC)	-log10(PV)
KEGG_ABC_TRANSPORTERS	1.106e+00	1.210e-01	1.000e+00	1.459e-01	-0.000e+00
KEGG_ACUTE_MYELOID_LEUKEMIA	9.674e-01	1.537e-01	1.000e+00	-4.778e-02	-0.000e+00
KEGG_ADHERENS_JUNCTION	1.054e+00	2.451e-03	4.608e-01	7.572e-02	3.365e-01
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.003e+00	9.408e-01	1.000e+00	4.767e-03	-0.000e+00
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	9.798e-01	6.680e-01	1.000e+00	-2.938e-02	-0.000e+00
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	9.907e-01	7.394e-01	1.000e+00	-1.345e-02	-0.000e+00
KEGG_ALLOGRAFT_REJECTION	1.288e+00	3.045e-15	5.724e-13	3.656e-01	1.224e+01
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1.068e+00	2.999e-01	1.000e+00	9.427e-02	-0.000e+00
KEGG_ALZHEIMERS_DISEASE	1.212e+00	2.521e-08	4.739e-06	2.773e-01	5.324e+00
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	9.566e-01	3.643e-01	1.000e+00	-6.399e-02	-0.000e+00
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	9.222e-01	1.767e-02	1.000e+00	-1.169e-01	-0.000e+00
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.073e+00	3.201e-02	1.000e+00	1.012e-01	-0.000e+00
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1.241e+00	4.828e-15	9.077e-13	3.119e-01	1.204e+01
KEGG_APOPTOSIS	1.006e+00	6.640e-01	1.000e+00	8.676e-03	-0.000e+00
KEGG_ARACHIDONIC_ACID_METABOLISM	1.060e+00	1.443e-01	1.000e+00	8.435e-02	-0.000e+00
KEGG_ARGININE_AND_PROLINE_METABOLISM	1.008e+00	9.037e-01	1.000e+00	1.115e-02	-0.000e+00
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1.047e+00	4.596e-02	1.000e+00	6.599e-02	-0.000e+00
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	8.364e-01	8.601e-02	1.000e+00	-2.578e-01	-0.000e+00
KEGG_ASTHMA	1.348e+00	5.731e-15	1.077e-12	4.311e-01	1.197e+01
KEGG_AUTOIMMUNE_THYROID_DISEASE	1.273e+00	1.032e-14	1.941e-12	3.479e-01	1.171e+01
KEGG_AXON_GUIDANCE	1.028e+00	5.229e-02	1.000e+00	4.030e-02	-0.000e+00
KEGG_BASAL_CELL_CARCINOMA	9.424e-01	2.763e-01	1.000e+00	-8.553e-02	-0.000e+00
KEGG_BASAL_TRANSCRIPTION_FACTORS	8.999e-01	4.920e-03	9.249e-01	-1.522e-01	3.391e-02
KEGG_BASE_EXCISION_REPAIR	8.808e-01	1.713e-04	3.221e-02	-1.831e-01	1.492e+00
KEGG_BETA_ALANINE_METABOLISM	9.567e-01	3.760e-01	1.000e+00	-6.388e-02	-0.000e+00
