X,Y
525,146
528,146
530,146
532,145
533,145
535,145
537,145
539,145
541,145
542,145
544,145
545,145
546,145
548,146
549,146
550,146
552,146
554,147
556,147
557,148
559,149
561,149
562,150
563,151
564,152
566,154
567,156
568,157
570,159
571,160
573,162
574,163
576,165
577,166
578,167
580,168
580,169
581,170
582,171
582,172
583,173
583,174
584,175
584,176
584,177
584,178
584,180
584,181
584,182
584,183
584,184
584,185
583,186
583,187
583,189
581,190
580,192
579,193
578,195
576,196
574,198
573,198
571,199
570,200
569,200
568,200
567,200
566,200
565,200
564,200
563,200
562,200
560,200
558,200
557,200
556,200
555,200
554,199
552,199
551,199
550,198
549,198
548,197
546,195
544,193
542,192
541,190
539,188
537,186
536,184
534,183
533,182
532,181
531,180
531,179
530,178
529,178
529,177
528,176
527,175
526,174
526,173
526,172
526,170
525,169
525,167
524,166
524,165
524,164
523,164
523,162
524,161
524,160
525,158
525,156
525,155
526,155
526,154
