X,Y
260,118
263,118
265,118
266,118
268,118
269,119
270,119
271,119
272,119
273,120
274,120
275,120
276,120
276,121
277,121
278,121
278,122
279,122
279,123
280,123
281,123
281,124
281,125
282,126
282,127
282,128
282,130
283,131
283,133
283,134
283,135
283,136
283,137
283,138
283,139
283,140
283,141
283,142
283,143
283,144
283,145
283,146
283,147
282,148
282,149
281,149
279,150
278,151
277,151
276,151
274,151
272,150
271,149
270,149
269,149
267,149
266,148
265,148
264,147
263,147
262,147
261,146
260,146
259,145
258,145
258,144
257,144
257,143
256,143
255,142
255,141
256,140
256,138
256,137
256,136
256,135
257,135
257,134
257,133
257,132
257,131
257,129
257,128
257,127
257,126
257,125
