Color_Number	R	G	B	R_code
9	181	0	202	rgb(181,0,202, maxColorValue=255)
2	181	202	0	rgb(181,202,0, maxColorValue=255)
6	5	158	220	rgb(5,158,220, maxColorValue=255)
7	44	86	253	rgb(44,86,253, maxColorValue=255)
3	109	246	27	rgb(109,246,27, maxColorValue=255)
1	235	134	14	rgb(235,134,14, maxColorValue=255)
0	255	64	64	rgb(255,64,64, maxColorValue=255)
5	5	220	158	rgb(5,220,158, maxColorValue=255)
10	235	14	134	rgb(235,14,134, maxColorValue=255)
4	44	253	86	rgb(44,253,86, maxColorValue=255)
8	109	27	246	rgb(109,27,246, maxColorValue=255)
